word,phonetic,definition,translation,tag,context,collins,oxford,bnc,frq
abet,ә'bet,"v. assist or encourage, usually in some wrongdoing","vt. 教唆, 煽动, 怂恿, 帮助, 支持",gre,"Onecould justifiably say that the mother's domineering nature,abetted by an absentee father, was the more basic cause ofthe neurosis, and in this respect too Kathy's case was typical.",0,0,14447,15345
abrasiveness,,n. the quality of being sharply disagreeable,[化] 磨损性,,They would gainreputations for abrasiveness and would be deemed toountrustworthy ever to be appointed as spokesmen foran organization.,0,0,0,40982
abrogation,.æbrәu'geiʃәn,n. the act of abrogating; an official or legal cancellation,"n. 废除, 取消
[经] 废除, 取消",,"Aftermany years of lonely reflection and self-abrogation Orestesrequested the gods to relieve him of the curse on theHouse of Atreus and its visitations upon him through theFuries, stating his belief that he had succeeded in atoningfor the murder of his mother.",0,0,35136,28783
absurdity,әb'sә:diti,"n. a message whose content is at variance with reason
n. a ludicrous folly","n. 荒谬, 悖理, 荒谬的言行",,,0,0,11686,12372
absurdly,әb'sә:dli,r. in an absurd manner or to an absurd degree,"adv. 荒谬地, 荒唐地, 愚蠢地",,,0,0,14080,16888
academically,.ækә'demikәli,r. in regard to academic matters,adv. 学术上；学业上,,One is the remarkable number of you who haveduring the course of your lives undergone--or are stillundergoing-significant psychotherapy either within theTwelve Step programs or at the hands of traditionalacademically trained therapists.,0,0,14700,9322
accurately,'ækjurәtli,"r. with few mistakes
r. strictly correctly","adv. 正确地, 精确地",,"Loving parents, for example,must first examine themselves and their values stringentlybefore determining accurately that they know what is bestfor their child.",0,1,4484,4898
acknowledgment,әk'nɔlidʒmәnt,n. a statement acknowledging something or someone,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意
[计] 肯定, 确认认可",,"They may stop with some such excuse as ""We'vedecided we made a mistake when we thought we hadthe money for treatment"" or they may stop honestlywith an open acknowledgment: ""I'm afraid of whattherapy might do to my marriage.",0,0,19902,9911
actuality,.æktʃu'æliti,n. the state of actually existing objectively,"n. 事实, 现实, 现状",,"So it is that these children, abandoned eitherpsychologically or in actuality, enter adulthood lacking anydeep sense that the world is a safe and protective place.",1,0,15761,15096
adequately,'ædikwәtli,r. in an adequate manner or to an adequate degree,"adv. 足够地, 适当地",,Nor is this assessmentand reassessment painless if performed adequately andconscientiously.,0,1,5277,6089
Adlerian,æd'leriәn,,a. (奥地利精神病学家和心理学家)阿德勒,,I do not belongto any particular school of psychiatry or psychotherapy; Iam not simply a Freudian or Jungian or Adlerian orbehaviorist or gestaltist.,0,0,0,0
admonishment,әd'mɔniʃmәnt,n a firm rebuke,n. 训戒；警告（等于admonition）,,"They will takethe time to make these minor corrections andadjustments, listening to their children, responding tothem, tightening a little here, loosening a little there,giving them little lectures, little stories, little hugs andkisses, little admonishments, little pats on the back.",0,0,46633,29262
adrift,ә'drift,"s. aimlessly drifting
s. afloat on the surface of a body of water
r. floating freely; not anchored
r. off course, wandering aimlessly","adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的",,"What are we to do, adrift in a sea of ignorance?",1,0,13865,14510
adulthood,ә'dʌlthud,"n. the period of time in your life after your physical growth has stopped and you are fully developed
n. the state (and responsibilities) of a person who has attained maturity","n. 成年
[医] 成人期",,Such a conviction must be gained inchildhood; it is extremely difficult to acquire it duringadulthood.,0,0,11718,7780
affectionately,ә'fekʃәnitli,r with affection,"adv. 挚爱地, 亲切地",,,0,0,14391,14360
affirmative,ә'fә:mәtiv,"n. a reply of affirmation
a. affirming or giving assent
s. expecting the best","a. 肯定的, 赞成的, 积极的
n. 肯定语",,"RobertOppenheimer wrote:To what appear to be the simplest questions, we willtend to give either no answer or an answer which willat first sight be reminiscent more of a strangecatechism than of the straightforward affirmatives ofphysical science.",1,0,19589,5022
afield,ә'fi:ld,"r. far away from home or one's usual surroundings
r. in or into a field (especially a field of battle)
r. off the subject; beyond the point at issue","adv. 离开着, 偏离着, 在战场上",,"Some of us will go to quite extraordinary lengthsto avoid our problems and the suffering they cause,proceeding far afield from all that is clearly good andsensible in order to try to find an easy way out, buildingthe most elaborate fantasies in which to live,sometimes to the total exclusion of reality.",1,0,9689,17251
aforementioned,ә'fɒ:.menʃәnd,s being the one previously mentioned or spoken of,"a. 上述的, 前述的
[法] 前面提到过的, 前述的",,The aforementioned financial analyst wasa basically loving and dedicated but rather helpless mother toher two young children.,1,0,19392,12169
afterword,'ɑ:ftәwә:d,,n. 后记,,,0,0,0,32531
Agamemnon,.ægә'memnәn,n. (Greek mythology) the king who lead the Greeks against Troy in the Trojan War,n. 阿伽门农(特洛伊战争中希腊统帅),,"As part of the enactment of thiscurse upon the House of Atreus, Orestes' mother,Clytemnestra, murdered his father and her husband,Agamemnon.",0,0,36155,0
agape,ә'geip,"n. (Christian theology) the love of God or Christ for mankind
n. selfless love of one person for another without sexual implications (especially love that is spiritual in nature)
n. a religious meal shared as a sign of love and fellowship","a. 张口发呆的, 目瞪口呆的
adv. 张口发呆地, 目瞪口呆地",gre,"In an effort to explain it, therefore, love hasbeen divided into various categories: eros, philia, agape; per-fect love and imperfect love, and so on.",0,0,34727,24011
agendum,ә'dʒendәm,n a list of matters to be taken up (as at a meeting),"pl. 议程, 日常工作事项",,"Even though we may feel in our business dealings orsocial relation-ships that we are listening very hard, what weare usually doing is listening selectively, with a presetagenda in mind, wondering as we listen how we can achievecertain desired results and get the conversation over with asquickly as possible or redirected in ways more satisfactory tous.",0,0,0,0
agnosticism,æg'nɒstisizәm,"n. a religious orientation of doubt; a denial of ultimate knowledge of the existence of God
n. the disbelief in any claims of ultimate knowledge",n. 不可知论,,"Is it ever necessary, we may ask, for a therapist to activelychallenge a patient's atheism or agnosticism anddeliberately lead the patient in the direction of religiosity?",0,0,35544,32839
agonizingly,'ægənaiziŋli,r. in a very painful manner,adv. 使人烦恼地；苦闷地,,,0,0,36095,26957
agoraphobia,.ægәrә'fәubiә,n. a morbid fear of open spaces (as fear of being caught alone in some public place),"n. 广场恐怖症
[医] 广场恐怖, 旷野恐怖",,"Betsy's anxiety attacks were clearly a form ofagoraphobia (literally, fear of the marketplace, butusually fear of open spaces), and for her represented afear of freedom.",0,0,36264,32253
aimlessly,'eimlisli,r. without aim; in an aimless manner,"adv. 漫无目的地, 无目标地",,"They are much less likely to chatter aimlessly, but when theydo talk, they want their parents' full attention even more thando the younger children.",0,0,19678,17897
albeit,ɔ:l'bi:it,conj. Even though; although; notwithstanding.,"conj. 尽管, 虽然",gre,"For some parents thedesire to ""protect"" their children is motivated bygenuine albeit misguided love.",2,0,4587,6086
alcoholism,'ælkәhɒlizәm,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms,"n. 酗酒, 酒精中毒
[化] 酒中毒",,,0,0,15010,9107
allegedly,ә'ledʒidli,r. according to what has been alleged,adv. 依其申述,,"Half the time insuch situations she may never have learned, but in theremaining cases, some-times allegedly because of a minoraccident, she develops a ""phobia"" about driving at some pointafter marriage and stops.",0,0,5801,4656
aloneness,ə'ləunis,n. a disposition toward being alone,n. 孤独感,,"Great marriages cannot beconstructed by individuals who are terrified by their basicaloneness, as so commonly is the case, and seek a mergingin marriage.",0,0,38075,28841
altercation,.ɒ:ltә'keiʃәn,n noisy quarrel,"n. 争论, 争吵",,,0,0,22464,19011
amazingly,,r. in an amazing manner; to everyone's surprise,adv. 令人惊讶地；惊奇地,,One of these is the fact that ourpatients are amazingly healthy mentally.,0,0,9626,8727
ameliorate,ә'mi:ljәreit,"v to make better
v get better","v. 改善, 改良, 改进",gre,"Specif-ically, individuals with psychoses are thought to haveexperienced extremely poor parenting in the first ninemonths of life; their resulting illness can be amelioratedby this or that form of treatment, but it is almostimpossible to cure.",0,0,19718,17496
amicably,'æmikәbli,r. in an amicable manner,adv. 友善地,,"Having come toaccept this, he and Kathy most amicably agreed to adivorce.",0,0,19317,24809
amorphous,ә'mɒ:fәs,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form","a. 无定形的, 无组织的
[化] 非晶形的; 无定形的",gre,"Ultimately, according to thesecond law of thermodynamics, in billions and billionsof nears, the universe will completely wind down until itreaches the lowest point as an amorphous, totallydisorganized, totally undifferentiated ""blob"" in whichnothing happens any more.",0,0,16003,15741
Amytal,'æmitæl,n the sodium salt of amobarbital that is used as a barbiturate; used as a sedative and a hypnotic,"n. [药]阿米妥,异戊巴比妥(商标名,镇静催眠药)",,,0,0,0,0
anathema,ә'næθәmә,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication","n. 令人厌恶的人, 强烈的遣责, 诅咒, 咒逐, 革出教门",gre,Even the idea of a miracle is anathema to mostscientists.,1,0,14587,16986
anchoress,'æŋkәris,"v fix firmly and stably
v secure a vessel with an anchor",n. 女隐士,,,0,0,0,0
anesthetize,æ'ni:sθәtaiz,v. administer an anesthetic drug to,"vt. 使麻木, 使麻醉
[医] 使麻醉",,"They attempt to rid them-selves of the symptoms by pain-killers, by little pillsthey've gotten from the doctor or by anesthetizingthemselves with alcohol and other drugs.",0,0,0,25240
aneurysm,'ænjuәrizm,n. a cardiovascular disease characterized by a saclike widening of an artery resulting from weakening of the artery wall,"n. 动脉瘤
[医] 动脉瘤",,AtThe Miracle of Health237the age of fifteen he became partially paralyzed as theresult of a rupture of a congenital aneurysm of one of theblood vessels in his brain.,0,0,38132,19348
angelic,æn'dʒelik,"s. marked by utter benignity; resembling or befitting an angel or saint
a. of or relating to angels
s. having a sweet nature befitting an angel or cherub","a. 天使的, 天使般的",,"Does it seemto you that the angelic voices were mistaken, andthat the promise was a disappointment and a cheat?",0,0,19834,17620
